id;name;description;price;image
25;Камера Nikon;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;39890;camera_nikon.jpg
4;Телефон Samsung Galaxy;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;21500;phone_galaxy.jpg
21;Ноутбук Lenovo;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;55000;notebook_lenovo.jpg
5;Телевизор Supra;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;18000;tv_supra.jpg
2;Холодильник Haier;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;35500;fridge.jpg
14;Очки Versace;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;27990;glasses.jpg
3;Ноутбук Apple MacBook;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;119900;mac.jpg
1;Камера Sony;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;21490;sony-cam.jpg
19;Планшет Apple iPad;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;23000;ipad.jpg
22;Телевизор Harper;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;19500;rv_harp.jpg
23;Телефон iPhone 11;Lorem ipsum dolor sit amet, consectetur adipisicing elit. Alias ducimus expedita porro sint. A atque autem commodi est eum harum ipsa, ipsum, libero, maxime perferendis quaerat rem veritatis voluptas voluptatibus.;43990;iphone.jpg
