version;apply_time
m000000_000000_base;1571156990
m130524_201442_init;1571157078
m190124_110200_add_verification_token_column_to_user_table;1571157078
m191018_140920_add_name_and_image_columns_to_user_table;1571407789
m191018_151727_create_goods_table;1571415753
m191023_161402_add_isadmin_column_to_user_table;1571847312
m191028_151240_create_catalog_table;1572276147
m191028_155029_add_status_column_to_goods_table;1572277922
m180604_202836_create_cart_items_table;1572278072
m191029_090501_add_status_column_to_catalog_table;1572360606
m191029_155507_add_current_count_column_to_catalog_table;1572364725
m191029_160415_add_ordered_count_column_to_cart_items_table;1572365108
m191029_161802_add_org_id_column_to_catalog_table;1572365990
m191030_183801_add_price_column_to_catalog_table;1572463364
m191030_192657_add_description_column_to_catalog_table;1572463714
